iter	Passed	Remaining
889	4855	600
890	4860	594
891	4865	589
892	4871	583
893	4876	578
894	4880	572
895	4886	567
896	4892	561
897	4897	556
898	4903	550
899	4909	545
900	4914	540
901	4920	534
902	4925	529
903	4930	523
904	4937	518
905	4943	512
906	4948	507
907	4954	501
908	4959	496
909	4964	491
910	4970	485
911	4975	480
912	4980	474
913	4986	469
914	4991	463
915	4997	458
916	5002	452
917	5007	447
918	5013	441
919	5017	436
920	5022	430
921	5028	425
922	5034	420
923	5039	414
924	5044	408
925	5048	403
926	5053	397
927	5059	392
928	5064	387
929	5069	381
930	5073	376
931	5078	370
932	5083	365
933	5088	359
934	5094	354
935	5100	348
936	5105	343
937	5111	337
938	5116	332
939	5121	326
940	5126	321
941	5131	315
942	5136	310
943	5140	304
944	5145	299
945	5149	293
946	5154	288
947	5159	282
948	5164	277
949	5169	272
950	5173	266
951	5178	261
952	5183	255
953	5187	250
954	5192	244
955	5199	239
956	5203	233
957	5208	228
958	5213	222
959	5219	217
960	5223	211
961	5227	206
962	5231	201
963	5236	195
964	5241	190
965	5246	184
966	5252	179
967	5257	173
968	5262	168
969	5268	162
970	5272	157
971	5277	152
972	5283	146
973	5288	141
974	5293	135
975	5299	130
976	5303	124
977	5308	119
978	5313	113
979	5317	108
980	5322	103
981	5328	97
982	5332	92
983	5337	86
984	5341	81
985	5347	75
986	5352	70
987	5357	65
988	5361	59
989	5366	54
990	5370	48
991	5377	43
992	5382	37
993	5387	32
994	5391	27
995	5396	21
996	5400	16
997	5406	10
998	5411	5
999	5416	0
