iter	Passed	Remaining
553	2103	1693
554	2107	1689
555	2110	1685
556	2113	1680
557	2116	1676
558	2120	1672
559	2123	1668
560	2126	1663
561	2128	1659
562	2131	1654
563	2136	1651
564	2139	1647
565	2142	1642
566	2145	1638
567	2148	1634
568	2152	1630
569	2155	1626
570	2158	1621
571	2161	1617
572	2167	1614
573	2170	1610
574	2173	1606
575	2175	1601
576	2179	1597
577	2183	1594
578	2186	1589
579	2189	1585
580	2192	1581
581	2195	1577
582	2200	1574
583	2203	1569
584	2206	1565
585	2210	1561
586	2214	1558
587	2217	1553
588	2220	1549
589	2223	1544
590	2225	1540
591	2229	1536
592	2232	1532
593	2234	1527
594	2237	1523
595	2241	1519
596	2244	1515
597	2247	1511
598	2250	1506
599	2253	1502
600	2256	1497
601	2260	1494
602	2263	1490
603	2267	1486
604	2270	1482
605	2275	1479
606	2279	1475
607	2282	1471
608	2286	1467
609	2289	1463
610	2292	1459
611	2295	1455
612	2298	1451
613	2302	1447
614	2305	1443
615	2309	1439
616	2313	1435
617	2317	1432
618	2320	1428
619	2322	1423
620	2326	1419
621	2329	1415
622	2332	1411
623	2335	1407
624	2338	1403
625	2342	1399
626	2344	1394
627	2347	1390
628	2350	1386
629	2353	1382
630	2356	1378
631	2362	1375
632	2365	1371
633	2367	1366
634	2370	1362
635	2374	1358
636	2376	1354
637	2379	1350
638	2382	1346
639	2385	1341
640	2389	1338
641	2393	1334
642	2396	1330
643	2398	1326
644	2401	1321
645	2405	1318
646	2408	1314
647	2411	1310
648	2414	1306
649	2417	1301
650	2422	1298
651	2425	1294
652	2428	1290
653	2431	1286
654	2433	1281
655	2438	1278
656	2441	1274
657	2443	1270
658	2446	1265
659	2450	1262
660	2455	1259
661	2457	1254
662	2460	1250
663	2463	1246
664	2467	1243
665	2472	1240
666	2475	1235
667	2478	1231
668	2481	1227
669	2486	1224
670	2489	1220
671	2492	1216
672	2496	1212
673	2500	1209
674	2504	1205
675	2507	1201
676	2510	1197
677	2512	1193
678	2518	1190
679	2521	1186
680	2525	1182
681	2527	1178
682	2531	1175
683	2535	1171
684	2538	1167
685	2540	1162
686	2543	1158
687	2546	1154
688	2550	1151
689	2553	1147
690	2556	1143
691	2559	1139
692	2563	1135
693	2566	1131
694	2568	1127
695	2571	1123
696	2574	1119
697	2578	1115
698	2583	1112
699	2586	1108
700	2589	1104
701	2592	1100
702	2596	1096
703	2599	1092
704	2601	1088
705	2604	1084
706	2606	1080
707	2611	1077
